Unnamed: 0,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
4,2003,6,23,1,1328,1255,1655.0,1615,AA,1362,N4YUAA,147.0,140,107.0,40.0,33,ORD,JFK,740,8.0,32,0,N,0,0.0,0.0,40.0,0.0,0.0
10,2003,6,23,1,1207,1155,1513.0,1455,AA,1363,N4XNAA,246.0,240,215.0,18.0,12,BOS,DFW,1562,11.0,20,0,N,0,8.0,0.0,6.0,0.0,4.0
11,2003,6,28,6,1209,1155,1511.0,1455,AA,1363,N4XCAA,242.0,240,209.0,16.0,14,BOS,DFW,1562,18.0,15,0,N,0,0.0,0.0,2.0,0.0,14.0
12,2003,6,2,1,1726,1715,2024.0,2005,AA,1366,N584AA,118.0,110,77.0,19.0,11,COS,DFW,592,19.0,22,0,N,0,0.0,0.0,8.0,0.0,11.0
13,2003,6,6,5,1748,1715,2029.0,2005,AA,1366,N462AA,101.0,110,82.0,24.0,33,COS,DFW,592,8.0,11,0,N,0,0.0,0.0,0.0,0.0,24.0
14,2003,6,9,1,1828,1715,2109.0,2005,AA,1366,N530AA,101.0,110,80.0,64.0,73,COS,DFW,592,7.0,14,0,N,0,0.0,0.0,3.0,0.0,61.0
16,2003,6,16,1,1747,1715,2042.0,2005,AA,1366,N522AA,115.0,110,77.0,37.0,32,COS,DFW,592,26.0,12,0,N,0,0.0,0.0,5.0,0.0,32.0
17,2003,6,19,4,1931,1715,2208.0,2005,AA,1366,N570AA,97.0,110,77.0,123.0,136,COS,DFW,592,8.0,12,0,N,0,0.0,0.0,0.0,0.0,123.0
18,2003,6,20,5,1847,1715,2128.0,2005,AA,1366,N511AA,101.0,110,79.0,83.0,92,COS,DFW,592,10.0,12,0,N,0,0.0,0.0,0.0,0.0,83.0
19,2003,6,21,6,1745,1715,2025.0,2005,AA,1366,N587AA,100.0,110,78.0,20.0,30,COS,DFW,592,8.0,14,0,N,0,0.0,0.0,0.0,0.0,20.0
22,2003,6,24,2,1842,1715,2122.0,2005,AA,1366,N428AA,100.0,110,76.0,77.0,87,COS,DFW,592,12.0,12,0,N,0,0.0,0.0,0.0,0.0,77.0
26,2003,6,6,5,2128,2050,43.0,5,AA,1366,N461AA,135.0,135,118.0,38.0,38,DFW,JAX,919,5.0,12,0,N,0,38.0,0.0,0.0,0.0,0.0
28,2003,6,9,1,2206,2050,133.0,5,AA,1366,N530AA,147.0,135,127.0,88.0,76,DFW,JAX,919,3.0,17,0,N,0,0.0,22.0,12.0,0.0,54.0
31,2003,6,16,1,2131,2050,40.0,5,AA,1366,N580AA,129.0,135,113.0,35.0,41,DFW,JAX,919,5.0,11,0,N,0,35.0,0.0,0.0,0.0,0.0
32,2003,6,17,2,2222,2050,139.0,5,AA,1366,N474AA,137.0,135,109.0,94.0,92,DFW,JAX,919,10.0,18,0,N,0,0.0,92.0,2.0,0.0,0.0
33,2003,6,19,4,2305,2050,211.0,5,AA,1366,N501AA,126.0,135,108.0,126.0,135,DFW,JAX,919,5.0,13,0,N,0,65.0,0.0,0.0,0.0,61.0
34,2003,6,20,5,2210,2050,123.0,5,AA,1366,N511AA,133.0,135,111.0,78.0,80,DFW,JAX,919,8.0,14,0,N,0,7.0,0.0,0.0,0.0,71.0
36,2003,6,22,7,2126,2050,37.0,5,AA,1366,N558AA,131.0,135,115.0,32.0,36,DFW,JAX,919,6.0,10,0,N,0,32.0,0.0,0.0,0.0,0.0
37,2003,6,24,2,2151,2050,100.0,5,AA,1366,N428AA,129.0,135,116.0,55.0,61,DFW,JAX,919,3.0,10,0,N,0,0.0,0.0,0.0,0.0,55.0
38,2003,6,25,3,2151,2050,148.0,5,AA,1366,N482AA,177.0,135,114.0,103.0,61,DFW,JAX,919,5.0,58,0,N,0,0.0,61.0,42.0,0.0,0.0
39,2003,6,27,5,2059,2050,22.0,5,AA,1366,N253AA,143.0,135,119.0,17.0,9,DFW,JAX,919,4.0,20,0,N,0,9.0,0.0,8.0,0.0,0.0
40,2003,6,1,7,948,720,1223.0,955,AA,1368,N553AA,155.0,155,133.0,148.0,148,MCO,LGA,950,6.0,16,0,N,0,148.0,0.0,0.0,0.0,0.0
42,2003,6,6,5,730,720,1018.0,955,AA,1368,N540AA,168.0,155,154.0,23.0,10,MCO,LGA,950,3.0,11,0,N,0,10.0,0.0,13.0,0.0,0.0
43,2003,6,7,6,745,720,1025.0,955,AA,1368,N4WTAA,160.0,155,144.0,30.0,25,MCO,LGA,950,3.0,13,0,N,0,25.0,0.0,5.0,0.0,0.0
44,2003,6,8,7,1036,720,1312.0,955,AA,1368,N200AA,156.0,155,136.0,197.0,196,MCO,LGA,950,10.0,10,0,N,0,196.0,0.0,1.0,0.0,0.0
45,2003,6,13,5,757,720,1034.0,955,AA,1368,N579AA,157.0,155,139.0,39.0,37,MCO,LGA,950,4.0,14,0,N,0,37.0,0.0,2.0,0.0,0.0
46,2003,6,18,3,759,720,1048.0,955,AA,1368,N248AA,169.0,155,140.0,53.0,39,MCO,LGA,950,13.0,16,0,N,0,39.0,0.0,14.0,0.0,0.0
47,2003,6,20,5,756,720,1018.0,955,AA,1368,N442AA,142.0,155,128.0,23.0,36,MCO,LGA,950,3.0,11,0,N,0,23.0,0.0,0.0,0.0,0.0
48,2003,6,27,5,745,720,1024.0,955,AA,1368,N423AA,159.0,155,138.0,29.0,25,MCO,LGA,950,3.0,18,0,N,0,25.0,0.0,4.0,0.0,0.0
50,2003,6,1,7,1640,1555,1801.0,1725,AA,1369,N448AA,141.0,150,115.0,36.0,45,EWR,ORD,719,6.0,20,0,N,0,0.0,0.0,0.0,0.0,36.0
51,2003,6,3,2,1809,1555,1957.0,1725,AA,1369,N456AA,168.0,150,121.0,152.0,134,EWR,ORD,719,6.0,41,0,N,0,0.0,0.0,62.0,0.0,90.0
52,2003,6,4,3,1731,1555,1905.0,1725,AA,1369,N567AA,154.0,150,109.0,100.0,96,EWR,ORD,719,7.0,38,0,N,0,0.0,0.0,14.0,0.0,86.0
54,2003,6,11,3,1657,1555,1835.0,1725,AA,1369,N241AA,158.0,150,111.0,70.0,62,EWR,ORD,719,11.0,36,0,N,0,0.0,0.0,70.0,0.0,0.0
55,2003,6,12,4,1616,1555,1756.0,1725,AA,1369,N557AA,160.0,150,109.0,31.0,21,EWR,ORD,719,10.0,41,0,N,0,0.0,0.0,31.0,0.0,0.0
56,2003,6,13,5,1642,1555,1825.0,1725,AA,1369,N255AA,163.0,150,110.0,60.0,47,EWR,ORD,719,9.0,44,0,N,0,0.0,0.0,41.0,0.0,19.0
57,2003,6,15,7,1603,1555,1755.0,1725,AA,1369,N408AA,172.0,150,121.0,30.0,8,EWR,ORD,719,10.0,41,0,N,0,0.0,0.0,27.0,0.0,3.0
59,2003,6,17,2,1649,1555,1828.0,1725,AA,1369,N292AA,159.0,150,113.0,63.0,54,EWR,ORD,719,15.0,31,0,N,0,0.0,0.0,63.0,0.0,0.0
61,2003,6,20,5,1640,1555,1825.0,1725,AA,1369,N478AA,165.0,150,118.0,60.0,45,EWR,ORD,719,14.0,33,0,N,0,31.0,0.0,15.0,0.0,14.0
